20
20
53,26,65,51,90,37,47,54,79,18,22,1,91,90,56,69,57,42,10,0
81,6,96,16,35,88,45,72,44,38,3,49,16,68,1,58,58,0,12,37
18,86,90,9,29,47,78,38,41,41,90,22,47,86,91,35,27,88,7,71
26,10,73,42,31,74,1,89,26,65,78,44,4,69,5,85,68,35,23,9
76,13,84,76,52,75,11,79,15,70,2,42,32,75,36,63,1,37,4,27
55,35,71,59,4,76,96,24,12,19,33,40,84,17,68,36,44,79,15,60
1,70,54,34,45,90,97,47,80,54,74,35,89,98,46,45,74,42,69,38
13,54,31,97,72,99,86,68,31,1,28,32,23,34,66,69,25,16,68,5
22,42,40,11,40,38,56,67,80,77,57,93,31,88,42,55,40,28,24,71
82,4,55,5,39,74,74,64,42,94,21,64,37,61,27,29,51,35,48,31
12,6,76,43,46,18,99,38,47,75,9,29,79,17,34,70,91,61,86,85
55,7,49,44,20,28,26,71,63,74,2,75,80,30,18,79,49,69,17,48
44,79,77,76,96,63,98,39,76,85,24,84,92,25,80,13,53,6,84,16
81,39,43,13,69,13,92,70,83,62,18,79,93,47,7,41,63,6,80,91
91,56,75,35,33,56,48,38,14,85,54,95,76,97,9,45,10,53,16,45
67,86,77,60,34,84,1,49,90,33,40,33,89,68,69,74,76,69,12,90
54,18,86,30,15,47,28,78,52,96,75,20,34,52,80,20,37,82,69,79
15,10,65,57,78,34,31,54,55,44,96,62,62,82,92,30,81,72,60,86
20,87,6,55,40,38,75,29,20,45,60,88,7,25,97,37,11,80,43,67
76,39,81,91,74,25,73,55,98,33,41,18,72,99,73,12,38,49,93,10
