20
20
25,18,33,30,64,54,14,51,0,50,75,57,68,9,6,27,28,89,42,63
83,26,53,97,42,44,44,62,39,82,61,64,0,94,46,65,1,13,68,1
63,95,10,83,4,17,62,85,6,57,0,42,83,53,39,77,49,83,39,89
17,53,5,69,99,4,34,0,17,54,1,32,1,12,15,58,81,30,43,39
87,95,81,22,1,20,99,50,55,91,91,24,44,49,94,43,53,80,96,70
87,97,2,88,61,69,46,42,51,41,82,38,37,15,12,90,88,12,92,95
55,84,20,51,85,66,46,90,46,42,60,33,92,14,74,5,35,72,48,87
14,82,77,3,97,90,93,37,54,85,33,61,21,53,12,58,19,58,48,17
53,60,3,45,26,77,50,62,1,50,1,15,84,30,70,34,72,15,71,78
53,4,39,74,9,51,33,28,62,33,46,15,94,1,12,20,30,62,34,31
65,35,47,49,18,69,83,90,85,7,69,38,11,8,64,21,12,49,1,74
83,99,41,77,0,53,97,30,67,32,14,32,19,61,34,37,82,69,80,67
76,49,57,40,9,22,13,73,71,66,99,54,66,40,31,18,45,81,1,13
65,15,45,84,28,79,74,10,1,54,30,77,55,87,17,16,61,82,90,33
49,41,39,15,34,23,85,79,4,86,92,21,1,90,5,81,21,31,92,22
37,74,52,44,13,21,61,75,4,3,60,53,96,99,20,30,22,5,10,78
44,54,99,97,96,57,79,70,40,23,44,78,97,96,22,10,18,35,37,22
90,97,27,87,97,47,17,71,4,27,2,48,34,53,46,30,62,77,0,3
0,45,33,49,93,55,59,11,43,49,85,33,46,12,72,95,11,90,19,68
69,73,16,3,26,14,86,41,91,38,44,43,83,29,92,77,36,4,40,79
