64,0.000544,0.000042,0.000023
64,0.000545,0.000041,0.000023
64,0.000545,0.000041,0.000023
64,0.000543,0.000040,0.000023
64,0.000544,0.000041,0.000023
64,0.000543,0.000041,0.000023
64,0.000543,0.000041,0.000023
64,0.000548,0.000042,0.000023
64,0.000545,0.000041,0.000023
64,0.000545,0.000042,0.000023
128,0.004754,0.000081,0.000039
128,0.004998,0.000084,0.000040
128,0.004660,0.000082,0.000039
128,0.004672,0.000082,0.000039
128,0.004689,0.000083,0.000040
128,0.004755,0.000082,0.000039
128,0.004640,0.000083,0.000040
128,0.005218,0.000082,0.000040
128,0.005274,0.000082,0.000040
128,0.004636,0.000082,0.000040
256,0.049006,0.000330,0.000135
256,0.047782,0.000327,0.000134
256,0.048605,0.000326,0.000133
256,0.048880,0.000328,0.000135
256,0.047970,0.000320,0.000134
256,0.047199,0.000323,0.000134
256,0.049210,0.000320,0.000135
256,0.048411,0.000335,0.000135
256,0.047818,0.000333,0.000134
256,0.047866,0.000320,0.000134
512,0.463377,0.001856,0.000722
512,0.476327,0.001859,0.000721
512,0.462839,0.001854,0.000717
512,0.471443,0.001864,0.000699
512,0.475867,0.001849,0.000699
512,0.471131,0.001853,0.000722
512,0.471367,0.001899,0.000720
512,0.470658,0.001862,0.000702
512,0.471014,0.001861,0.000698
512,0.471567,0.001853,0.000722
1024,4.811541,0.012492,0.004419
1024,3.838720,0.012546,0.004321
1024,4.491457,0.012558,0.004324
1024,3.872812,0.012466,0.004423
1024,4.372447,0.012520,0.004329
1024,3.787638,0.012501,0.004430
1024,4.356178,0.012487,0.004329
1024,4.373458,0.012535,0.004334
1024,4.364221,0.012457,0.004423
1024,3.807618,0.012566,0.004340
