128
128
10,98,25,10,83,13,96,11,75,11,8,53,52,43,7,76,58,45,78,10,18,89,11,94,23,41,46,86,91,4,71,53,55,96,63,38,9,60,1,84,23,9,37,75,4,97,4,62,94,82,72,12,71,36,59,94,77,57,33,20,62,4,73,17,0,88,7,62,0,9,46,24,18,36,99,23,33,3,37,27,38,62,92,9,98,51,56,75,60,41,95,22,45,20,39,97,60,47,59,61,56,58,85,26,94,36,1,27,92,39,6,30,1,50,91,51,53,47,26,14,88,73,36,85,45,76,83,5
23,94,66,31,52,51,57,46,88,59,25,32,50,32,62,3,34,53,54,88,53,32,2,41,57,38,27,2,66,62,7,41,56,74,72,61,77,82,7,17,93,33,49,43,17,63,98,51,17,52,91,70,36,93,63,93,84,90,95,50,4,54,44,13,80,16,74,58,98,81,75,43,66,77,86,35,40,84,39,9,88,82,79,24,76,95,69,12,37,16,14,42,71,58,55,51,75,81,9,25,14,37,69,81,14,7,68,6,92,59,16,32,42,47,9,70,42,78,82,80,95,96,22,66,55,29,17,82
10,79,59,24,68,28,57,82,88,78,40,32,37,56,64,31,4,73,1,46,52,35,78,99,32,52,65,39,81,34,21,43,65,80,20,33,61,29,15,49,7,8,33,97,64,97,28,20,23,82,67,27,17,97,26,1,50,43,40,83,77,61,79,43,94,99,76,55,28,44,56,88,52,89,85,68,38,65,89,13,47,8,40,17,5,66,18,55,61,59,91,39,72,70,34,66,21,10,21,49,6,29,37,10,70,74,79,9,40,68,74,39,76,15,8,81,33,27,89,95,38,32,86,10,2,20,77,23
30,50,24,89,32,14,99,2,88,78,63,80,46,38,72,74,53,80,8,38,59,49,33,97,81,71,8,83,91,37,58,74,87,82,63,19,48,62,74,37,93,37,69,39,75,93,66,80,74,74,71,33,23,56,83,4,28,91,39,19,80,97,93,67,31,56,39,80,71,13,69,64,2,38,55,30,32,21,10,58,47,81,43,70,90,26,26,18,69,65,37,49,14,83,69,46,39,60,78,62,25,47,26,27,85,82,57,69,55,20,79,3,53,23,25,43,1,52,61,23,69,51,24,84,34,45,82,25
5,60,88,30,7,66,10,44,0,19,66,56,39,97,59,93,72,36,88,74,88,50,49,58,53,73,94,87,19,28,12,24,88,52,7,47,71,69,91,71,88,9,27,80,7,38,25,79,27,13,5,15,15,54,25,68,28,71,7,47,99,72,23,87,76,82,86,47,3,78,19,44,39,98,24,46,89,1,26,16,66,83,83,34,38,9,2,66,80,62,65,32,34,40,71,10,75,58,58,78,88,29,22,27,27,98,74,68,99,52,84,18,35,68,52,25,29,54,43,9,68,8,93,2,1,65,65,76
23,23,54,11,4,29,38,31,27,64,0,79,68,36,97,56,4,49,81,33,55,25,95,76,85,88,78,38,53,43,14,28,18,21,39,22,50,30,6,29,94,58,60,15,94,9,71,51,58,4,36,66,81,31,42,19,72,72,57,77,68,72,6,38,45,45,61,47,75,19,76,22,29,89,37,23,98,60,26,9,16,63,75,50,46,69,69,18,41,26,96,9,50,54,48,47,99,61,94,27,32,23,49,61,12,38,36,10,50,15,71,18,78,46,68,24,67,37,95,9,16,43,70,18,97,70,66,48
83,12,75,67,35,76,80,99,66,17,62,16,32,33,35,62,80,55,38,99,45,33,8,61,28,31,31,25,53,49,74,89,62,1,56,97,78,37,49,44,6,11,13,90,44,0,52,76,55,90,76,0,76,36,13,56,67,97,82,73,46,8,62,8,61,18,58,39,7,7,36,13,70,49,3,14,49,7,91,56,50,67,9,26,55,22,82,75,19,16,48,66,76,10,26,90,80,36,29,40,43,17,5,13,18,61,80,19,68,23,76,18,90,85,96,97,59,31,72,79,99,20,97,28,82,23,18,15
12,99,7,7,17,12,73,35,73,53,55,94,76,83,64,18,68,61,15,79,44,88,58,43,60,7,71,95,31,89,62,95,89,69,2,58,81,75,93,7,28,0,53,4,35,17,74,3,30,90,83,74,30,93,18,42,1,41,37,84,83,51,79,24,20,81,82,54,9,27,13,37,80,66,94,15,83,68,71,14,10,6,88,92,51,58,35,52,52,24,88,87,76,19,11,48,53,45,2,62,24,15,99,4,33,45,72,17,66,43,31,76,1,71,21,52,82,8,57,34,84,45,21,12,17,84,61,70
81,15,32,5,83,83,62,16,81,34,33,47,29,16,75,82,40,96,34,22,4,91,8,41,89,81,53,58,17,14,28,98,82,12,3,65,47,17,33,28,51,19,75,32,35,51,14,27,47,1,1,4,44,61,45,85,42,50,43,11,65,23,9,99,35,65,64,35,82,49,63,86,68,39,70,56,42,85,83,41,86,37,97,82,98,42,68,93,93,11,4,10,35,66,9,22,31,25,57,65,26,21,51,95,12,74,51,6,59,86,47,97,23,45,79,22,39,99,15,84,11,71,94,98,37,55,72,68
32,30,86,59,3,89,54,67,63,57,73,74,43,20,71,67,17,3,89,57,2,56,41,65,27,88,15,65,95,88,85,80,18,71,39,73,13,45,40,76,2,13,51,97,85,74,64,55,29,5,12,32,13,5,49,41,45,65,58,41,5,43,21,23,67,12,48,32,9,88,8,63,53,11,60,90,86,77,45,15,82,9,99,48,67,1,89,12,66,47,53,71,42,26,46,61,38,94,93,47,34,54,10,39,65,23,81,51,0,27,19,34,88,18,82,55,19,23,68,37,70,73,60,65,0,58,78,90
4,24,90,38,78,52,29,43,27,11,47,27,90,18,14,78,36,48,34,8,72,54,97,94,79,58,59,31,68,90,22,73,14,64,63,92,68,93,87,96,56,86,75,46,4,41,76,93,90,62,1,62,16,50,56,96,60,68,27,29,10,1,2,24,17,65,68,38,10,7,34,66,94,61,64,50,3,41,43,93,3,96,7,72,47,63,20,59,83,99,88,93,53,90,69,70,8,37,8,70,97,94,89,43,56,53,93,11,46,89,56,2,85,63,26,84,78,46,44,14,45,84,7,98,27,29,21,35
18,29,57,15,76,46,58,84,52,52,95,98,41,51,52,78,66,78,63,96,24,59,10,22,43,70,20,22,99,93,9,17,23,67,33,51,65,43,35,17,95,30,68,88,33,20,67,51,99,82,47,75,93,10,97,36,80,70,11,31,63,20,48,38,87,33,89,53,77,24,70,24,6,90,13,91,11,80,42,10,14,42,85,7,52,35,95,32,5,6,63,68,27,63,7,66,49,48,19,78,73,42,2,31,32,15,23,43,47,65,5,61,7,43,68,59,78,64,43,35,22,58,3,49,74,62,16,23
63,87,1,36,29,3,67,14,71,42,9,18,8,15,32,67,10,52,27,40,68,22,75,91,81,78,40,55,93,8,30,56,96,31,44,77,86,63,91,57,6,1,28,66,68,12,33,78,64,60,18,33,35,93,24,16,23,16,23,68,25,53,24,73,84,20,50,22,84,42,80,42,43,60,8,63,24,41,41,88,54,11,73,89,56,49,5,31,66,28,0,43,33,76,68,17,97,18,91,33,60,23,75,55,83,83,18,59,24,11,48,78,74,73,67,30,23,24,14,41,4,14,36,37,90,4,6,87
22,98,20,35,21,95,42,57,30,13,16,55,24,16,85,51,90,53,33,65,29,47,6,34,61,42,23,52,46,30,91,20,80,64,7,53,11,50,62,42,63,31,97,39,47,34,90,89,87,24,54,69,71,60,55,85,54,78,89,52,60,80,73,40,44,80,46,8,82,8,50,45,39,99,85,39,33,27,28,73,51,83,42,75,95,97,60,50,27,49,2,88,81,27,80,78,60,26,86,42,35,88,88,26,87,25,65,72,52,94,45,56,29,39,83,24,88,95,74,16,96,77,4,77,56,36,7,16
63,93,59,50,81,99,28,20,24,94,93,28,40,38,36,69,30,19,45,18,66,20,86,62,49,90,92,5,79,99,22,42,93,33,44,26,32,72,99,8,66,92,36,58,82,25,79,12,96,25,83,63,45,69,25,46,12,17,3,91,17,25,85,62,10,29,40,42,1,39,50,20,83,39,78,66,64,58,30,60,83,13,75,80,83,1,78,47,70,81,38,39,59,23,53,69,52,46,12,5,85,14,25,69,53,56,87,17,66,17,30,49,83,5,81,18,58,59,65,81,92,3,20,51,78,26,21,82
72,85,87,9,99,65,30,53,21,17,22,87,87,52,88,70,10,21,88,20,32,5,1,24,8,74,76,38,0,97,20,24,82,7,33,81,72,64,86,45,33,9,84,20,13,24,42,75,45,82,96,77,87,97,2,47,23,30,85,23,79,5,47,13,65,81,94,89,97,33,35,30,42,71,3,7,96,97,83,93,80,79,71,19,28,25,67,52,7,4,27,86,10,75,99,75,8,45,16,57,78,51,39,72,75,42,80,71,40,15,16,72,94,39,91,74,64,10,26,23,15,54,9,77,81,60,4,41
6,20,50,36,24,89,61,99,32,93,22,24,8,38,96,54,78,87,28,94,50,7,18,65,13,79,42,46,40,46,87,46,66,37,34,90,26,95,41,10,88,63,34,96,54,30,2,32,70,31,26,20,90,96,37,3,76,79,49,16,77,88,14,95,77,0,38,55,96,79,66,84,95,0,33,49,83,35,81,5,18,59,77,8,56,14,11,84,93,12,52,22,0,18,17,77,18,55,33,14,87,51,51,82,3,36,31,38,71,64,43,90,75,20,50,31,34,62,67,79,26,19,53,27,89,71,56,8
78,41,74,65,92,25,99,48,61,82,86,85,46,30,27,22,50,77,5,37,91,25,68,18,44,22,97,86,45,53,94,23,47,68,41,91,46,92,39,59,75,26,44,21,56,71,95,58,1,53,47,92,78,16,10,74,38,59,60,35,13,54,58,12,75,51,3,21,44,43,80,19,69,77,92,77,0,40,35,1,93,35,94,23,51,56,97,41,16,10,76,81,16,86,93,91,38,96,64,34,91,97,5,12,74,97,89,74,89,77,76,82,64,22,57,15,78,55,8,94,17,84,75,33,22,20,77,12
17,41,46,60,90,51,25,64,1,66,91,90,95,19,25,59,93,82,26,71,89,34,66,6,70,93,40,93,14,17,57,83,10,4,95,1,7,20,17,8,87,8,51,82,79,76,42,72,58,68,44,48,55,62,6,25,7,46,70,21,15,28,4,26,84,0,27,91,72,96,52,59,5,3,42,36,79,36,61,89,56,57,89,11,71,96,89,78,94,59,0,10,87,56,88,71,8,67,15,81,63,67,92,20,70,86,9,1,22,70,90,31,27,80,42,98,28,83,76,22,43,28,84,30,37,72,54,45
91,69,78,55,88,71,27,58,57,36,59,32,58,1,63,85,81,57,35,9,41,64,84,36,44,68,18,81,41,72,79,84,93,57,91,81,80,19,91,38,7,50,70,66,4,85,51,85,94,39,47,87,55,31,23,99,51,42,81,44,14,60,29,60,69,20,41,50,39,33,40,47,35,62,13,39,47,16,77,93,7,76,81,62,59,4,62,10,46,95,55,13,55,84,73,76,4,66,26,96,51,18,95,39,80,8,30,27,76,59,21,36,87,54,98,46,58,60,57,57,55,64,22,62,0,47,91,4
13,69,52,17,88,47,56,68,7,38,48,36,98,21,72,85,75,70,84,85,83,93,42,90,57,64,5,57,63,96,13,77,17,66,46,5,65,54,26,25,92,74,61,42,95,33,28,22,55,64,7,38,57,2,81,14,18,86,23,82,34,36,11,51,54,57,57,72,11,83,97,3,9,58,98,56,43,78,78,98,42,85,89,99,39,70,13,58,56,36,40,90,24,51,93,31,8,2,3,71,85,0,26,46,58,24,2,1,2,80,51,44,18,40,43,57,10,8,15,18,96,7,60,73,58,54,4,18
56,7,89,94,7,68,40,17,92,95,18,47,27,69,91,45,62,87,55,72,47,22,43,96,30,3,69,40,9,73,59,66,32,0,12,39,68,4,56,13,99,26,60,27,47,3,24,9,42,79,34,90,2,77,38,84,32,7,24,42,32,35,60,16,88,72,55,56,76,63,69,28,41,81,7,88,85,31,50,27,63,36,69,65,13,7,1,97,66,77,39,98,13,51,14,1,75,21,9,4,36,31,32,29,12,39,18,49,70,20,77,33,56,46,50,21,54,3,70,20,81,62,71,46,13,37,99,89
11,8,93,99,91,77,29,4,68,99,53,38,19,82,24,27,81,26,0,35,82,70,7,63,84,30,61,98,20,60,39,31,20,84,30,12,61,59,68,29,58,73,19,29,8,95,8,89,74,8,76,56,31,35,71,15,66,32,65,38,44,4,69,16,88,51,80,49,63,48,30,73,74,50,55,34,45,63,23,71,72,99,27,55,86,50,22,52,34,88,42,78,44,63,95,33,15,75,34,30,76,65,3,2,67,58,36,64,74,11,36,98,10,15,53,96,66,75,1,0,15,43,31,60,7,78,45,74
5,79,56,81,96,59,35,63,70,71,80,44,34,68,42,44,83,47,93,1,74,46,54,90,41,85,2,48,63,47,74,20,26,30,2,75,42,89,90,64,13,70,8,47,38,2,44,74,1,37,27,75,35,81,17,76,66,19,77,81,66,51,2,93,34,56,20,28,97,10,92,10,81,52,58,71,6,2,97,7,91,25,82,26,6,0,54,25,19,31,58,86,35,12,31,69,68,51,97,66,61,89,28,94,93,86,18,99,40,15,6,83,92,88,9,51,40,16,76,12,47,86,50,82,99,81,3,67
